"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","schoolsup","famsup","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","n","id.p","id.m","failures","paid","absences","G1","G2","G3","failures.p","paid.p","absences.p","G1.p","G2.p","G3.p","failures.m","paid.m","absences.m","G1.m","G2.m","G3.m","alc_use","high_use","cid"
"1","GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",2,4,"yes","yes","yes","yes","yes","yes","no",3,1,2,1,1,1,2,1096,2096,0,"yes",3,10,12,12,0,"yes",4,13,13,13,1,"yes",2,7,10,10,1,FALSE,3001
"2","GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",1,2,"yes","yes","no","no","yes","yes","yes",3,3,4,2,4,5,2,1073,2073,1,"no",2,10,8,8,0,"no",2,13,11,11,2,"no",2,8,6,5,3,TRUE,3002
"3","GP","F",15,"R","GT3","T",2,2,"at_home","other","reputation","mother",1,1,"yes","yes","yes","yes","yes","no","no",4,3,1,1,1,2,2,1040,2040,0,"no",8,14,13,12,0,"no",8,14,13,12,0,"yes",8,14,13,13,1,FALSE,3003
"4","GP","F",15,"R","GT3","T",2,4,"services","health","course","mother",1,3,"yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,1025,2025,0,"no",2,10,10,9,0,"no",2,10,11,10,0,"yes",2,10,9,8,1,FALSE,3004
"5","GP","F",15,"R","GT3","T",3,3,"services","services","reputation","other",2,3,"no","yes","yes","yes","yes","yes","yes",4,2,1,2,3,3,2,1166,2153,1,"yes",5,12,12,12,0,"yes",2,13,13,13,2,"yes",8,10,10,10,2.5,TRUE,3005
"6","GP","F",15,"R","GT3","T",3,4,"services","health","course","mother",1,3,"yes","yes","yes","yes","yes","yes","no",4,3,2,1,1,5,2,1039,2039,0,"no",2,12,12,12,0,"no",2,11,12,12,0,"yes",2,12,12,11,1,FALSE,3006
"7","GP","F",15,"R","GT3","T",3,4,"services","teacher","course","father",2,3,"no","yes","no","yes","yes","yes","yes",4,2,2,2,2,5,2,1131,2131,1,"no",0,11,6,6,0,"no",0,10,11,12,2,"no",0,12,0,0,2,FALSE,3007
"8","GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",2,2,"yes","yes","no","yes","yes","yes","no",4,1,3,1,3,4,2,1069,2069,0,"no",1,10,10,10,0,"no",0,11,10,11,0,"yes",2,8,9,8,2,FALSE,3008
"9","GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",2,4,"no","yes","no","no","yes","yes","no",4,4,2,2,3,3,2,1070,2070,0,"no",9,16,16,16,0,"no",6,15,15,15,0,"no",12,16,16,16,2.5,TRUE,3009
"10","GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",1,4,"yes","no","no","yes","yes","no","no",4,3,3,1,1,4,2,1106,2106,0,"no",10,10,10,10,0,"no",10,10,10,10,0,"no",10,10,11,11,1,FALSE,3010
